opportunityId,StageID,stage_category,new_opportunity_days,qualified_opp_days,demo_complete_days,proposal_sent_days,pending_signature_days,nurture_days,closed_won_days,closed_lost,origin_date,create_date,start_date,clost_date,Estimated_Contract_Value,Company,Full_License_Count,crm_license_count,ready_only_count,FDC_Needed,total_livecycle,qualification_days_from_start,first_demo_days_from_start,ForeCastCategory,FirmSize,uses_count,lead_sales
976070,12481,open,0,10,8,0,0,0,0,0,2016-05-12 16:46:32.467,2016-05-12 16:46:32.467,2016-05-17 00:00:00.0,2016-06-30 00:00:00.0,0.0000,"Andropogon Associates, Ltd.",0,0,0,true,49,0,19,none,0,0,Hughes
975785,12480,open,0,0,0,0,0,0,0,0,2016-05-12 00:00:00.0,2016-05-12 11:29:06.68,2016-05-12 00:00:00.0,2016-06-30 00:00:00.0,0.0000,JNKA Architects,0,0,0,false,49,0,0,none,0,0,Reyna
975429,12481,open,0,0,0,0,0,0,0,0,2016-05-11 00:00:00.0,2016-05-11 14:41:53.53,2016-05-11 00:00:00.0,2016-06-30 00:00:00.0,0.0000,INVISION,0,0,0,false,50,0,7,Best Case,0,3,Reyna
975307,12479,open,0,0,0,0,0,0,0,0,2016-05-11 11:54:51.81,2016-05-11 11:54:51.81,,,0.0000,PCS Structural Solutions,0,0,0,false,0,0,0,none,0,0,
975290,12480,open,0,0,0,0,0,0,0,0,2016-05-11 00:00:00.0,2016-05-11 11:27:53.59,2016-05-11 00:00:00.0,2016-06-30 00:00:00.0,0.0000,"Geocon Consultants, Inc.",0,0,0,false,50,0,0,none,0,0,Reyna
975262,12481,open,0,0,16,0,0,0,0,0,2016-05-11 00:00:00.0,2016-05-11 10:54:59.943,2016-05-11 00:00:00.0,2016-06-30 00:00:00.0,5000.0000,Cunningham | Quill Architects,0,0,0,false,50,0,16,Best Case,0,3,Reyna
975250,12480,open,0,23,0,0,0,0,0,0,2016-05-11 00:00:00.0,2016-05-11 10:43:14.563,2016-05-11 00:00:00.0,2016-07-31 00:00:00.0,0.0000,"Parkhill, Smith & Cooper, Inc.",0,0,0,false,81,0,0,none,0,0,Reyna
975229,12481,open,0,0,0,0,0,0,0,0,2016-05-11 00:00:00.0,2016-05-11 10:18:42.347,2016-05-11 00:00:00.0,2016-06-30 00:00:00.0,4500.0000,Obermiller Nelson Engineering,0,0,0,false,50,0,2,Best Case,0,0,Reyna
974945,12481,open,0,0,0,0,0,0,0,0,2016-05-10 00:00:00.0,2016-05-10 15:37:39.797,2016-05-10 00:00:00.0,2016-06-30 00:00:00.0,5000.0000,The Solis Group,0,0,0,false,51,0,3,Best Case,0,3,Reyna
974901,12480,open,0,12,0,0,0,0,0,0,2016-05-10 14:50:18.547,2016-05-10 14:50:18.547,2016-05-13 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Sambatek,0,0,0,false,51,0,0,none,0,0,Hughes
974798,12481,open,0,0,5,0,0,0,0,0,2016-05-10 00:00:00.0,2016-05-10 13:11:37.623,2016-05-10 00:00:00.0,2016-06-30 00:00:00.0,5000.0000,"Harmsen, Inc.",0,0,0,false,51,0,3,Best Case,0,3,Reyna
974763,12480,open,0,0,0,0,0,0,0,0,2016-05-10 00:00:00.0,2016-05-10 12:29:49.747,2016-05-10 00:00:00.0,2016-06-30 00:00:00.0,0.0000,180 Degrees,0,0,0,false,51,0,8,none,0,0,Reyna
974228,12481,open,0,0,1,0,0,0,0,0,2016-05-06 00:00:00.0,2016-05-09 13:32:56.35,2016-05-06 00:00:00.0,2016-06-30 00:00:00.0,10000.0000,"Peoples Associates Structural Engineers, Inc",0,0,0,true,52,0,2,Best Case,0,0,Reyna
974145,12482,open,0,0,0,9,0,0,0,0,2016-05-09 00:00:00.0,2016-05-09 11:30:36.71,2016-05-09 00:00:00.0,2016-08-31 00:00:00.0,8860.0000,Faber Construction,0,0,0,true,114,0,3,Best Case,0,3,Reyna
974020,12481,open,0,0,8,0,0,0,0,0,2016-05-09 00:00:00.0,2016-05-09 09:24:47.08,2016-05-09 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Keystruct Construction,0,0,0,false,52,0,8,none,0,3,Reyna
973810,12481,open,0,0,11,0,0,0,0,0,2016-05-06 00:00:00.0,2016-05-06 15:18:05.53,2016-05-06 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Dustin Construction,0,0,0,false,55,0,6,Best Case,0,2,Reyna
973746,12481,open,0,9,0,0,0,0,0,0,2016-05-06 14:02:07.773,2016-05-06 14:02:07.773,2016-05-13 00:00:00.0,2016-06-30 00:00:00.0,0.0000,Magnusson Architectue & Planning PC,0,0,0,false,55,0,12,none,0,3,Reyna
972966,12482,open,0,0,0,4,0,0,0,0,2016-04-27 00:00:00.0,2016-05-04 17:50:51.99,2016-04-27 00:00:00.0,2016-06-30 00:00:00.0,8000.0000,Mavo Systems,0,0,0,false,57,0,-6,Best Case,0,1,Hughes
972595,12481,open,0,0,1,0,0,0,0,0,2016-05-04 00:00:00.0,2016-05-04 10:18:00.883,2016-05-04 00:00:00.0,2016-06-30 00:00:00.0,5000.0000,Geeding Construction,0,0,0,true,57,0,1,Best Case,0,3,Reyna
972318,12481,open,0,0,5,0,0,0,0,0,2016-05-03 00:00:00.0,2016-05-03 14:55:31.557,2016-05-03 00:00:00.0,2016-07-31 00:00:00.0,7000.0000,CJL Engineering,2,6,12,true,89,0,6,Best Case,0,0,
972244,12479,open,0,0,0,0,0,0,0,0,2016-05-03 13:30:02.59,2016-05-03 13:30:02.59,2016-05-06 00:00:00.0,,0.0000,OLYMPIQUE Facade Access Consulting,0,0,0,false,0,0,0,none,0,0,
972204,12481,open,0,0,10,0,0,0,0,0,2016-05-03 00:00:00.0,2016-05-03 12:25:22.647,2016-05-03 00:00:00.0,2016-06-30 00:00:00.0,26200.0000,RDG Planning & Design,0,0,0,true,58,0,10,Best Case,0,3,Reyna
972153,12481,open,0,0,0,0,0,0,0,0,2016-05-03 00:00:00.0,2016-05-03 11:13:09.9,2016-05-03 00:00:00.0,2016-06-30 00:00:00.0,7460.0000,The Rush Companies,0,0,0,false,58,0,7,Best Case,0,3,Reyna
972085,12480,open,0,0,0,0,0,0,0,0,2016-05-03 00:00:00.0,2016-05-03 09:47:21.223,2016-05-03 00:00:00.0,2016-06-30 00:00:00.0,5000.0000,Gallant Building Solutions,0,0,0,false,58,0,7,Best Case,31-100,0,Reyna
